random,cyclic,lipschitz,GS,GSL
5866348.73135,5853541.2078,5870402.78922,2809866.53898,2602075.26199
5861255.05137,5850548.80213,5868682.46473,2784624.95628,2572998.29441
5810527.51361,5841091.02475,5852183.91846,2763822.55293,2545027.39472
5796357.1556,5818036.55986,5851485.29036,2734944.38156,2517035.98837
5795704.713,5817428.40789,5851484.26068,2716260.86476,2490772.14514
5787714.3901,5805202.57342,5851475.1309,2693714.80496,2465264.42962
5787581.34689,5801259.3317,5851146.24053,2678747.21946,2441027.42991
5751505.43679,5782829.28738,5846954.80766,2637603.02692,2416248.4716
5751504.11252,5752364.37641,5842292.37099,2620149.67548,2393837.7661
5747302.08483,5751663.37411,5835883.02814,2593557.01386,2368719.83614
5640170.62622,5749313.95968,5831566.62419,2586696.46964,2347349.81227
5632556.68182,5747218.72974,5823057.57816,2569910.83751,2323478.30275
5623109.38603,5736251.9615,5821984.9344,2555155.95357,2302483.70179
5612152.6882,5735629.81114,5808133.81213,2538371.15932,2278930.42867
5608496.66003,5732408.13146,5805471.80838,2533825.07887,2258036.9435
5582174.88255,5726348.16716,5796794.6424,2518717.22926,2234347.62604
5582124.26923,5724359.69245,5738602.43293,2497007.21343,2214724.26335
5578664.82956,5720993.20991,5736241.05577,2486691.69395,2193306.48789
5570781.83791,5720580.04314,5736203.59922,2456929.28426,2168826.08837
5564445.09555,5720267.94546,5698560.63394,2446242.87834,2147303.64055
5563384.86455,5675167.43228,5689928.65512,2425956.50003,2125264.4104
5555199.47037,5667766.5341,5625888.66094,2394601.5732,2103741.75463
5553954.00264,5656910.61314,5610515.0194,2382506.29511,2083041.18641
5503555.4292,5653313.15752,5600948.47883,2365132.16579,2063237.16689
5415130.0708,5635073.38055,5582995.34641,2343250.86548,2042639.75435
5409009.84093,5610885.72314,5580202.74978,2327775.29155,2022970.4846
5398659.13619,5606505.677,5579882.56389,2298844.70211,2004301.77694
5392510.04905,5605882.12699,5579826.58615,2262190.27255,1986576.79027
5389898.32198,5605355.8312,5568079.74844,2242282.75718,1968583.51904
5387191.26695,5599173.77739,5557345.08079,2223154.41301,1949615.97361
5385395.25042,5598661.76024,5553565.39394,2209309.72949,1932909.58507
5384354.63766,5598139.59857,5543737.34925,2199963.33508,1915280.45147
5361871.2793,5562635.37796,5543212.22518,2184202.13128,1897842.35038
